Stadium,Team1,Team2,Won
"Eden Gardens,",Mumbai Indians,Chennai Super Kings,Mumbai Indians won by 41 runs
"JSCA International Cricket Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 3 wickets
"Wankhede Stadium,",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore won by 71 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 25 runs
"M. Chinnaswamy Stadium,",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians won by 9 wickets
"Brabourne Stadium,",Royal Challengers Bangalore,Delhi Daredevils,No result
"IS Bindra Stadium,",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals won by 9 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Punjab Kings,Chennai Super Kings,Chennai Super Kings won by 7 wickets
"Wankhede Stadium,",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore won by 6 wickets (D/L method)
"IS Bindra Stadium,",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians won by 5 runs
"Shaheed Veer Narayan Singh International Cricket Stadium,",Punjab Kings,Royal Challengers Bangalore,Punjab Kings won by 22 runs
"Rajiv Gandhi Intl. Cricket Stadium,",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils won by 6 wickets
"M. A. Chidambaram Stadium,",Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad won by 5 runs
"Wankhede Stadium,",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings won by 12 runs
"Shaheed Veer Narayan Singh International Cricket Stadium,",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore won by 39 runs
"Eden Gardens,",Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad won by 6 runs
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders won by 1 wicket
"Eden Gardens,",Chennai Super Kings,Mumbai Indians,Mumbai Indians won by 6 wickets
"Brabourne Stadium,",Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders won by 13 runs
"M. Chinnaswamy Stadium,",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad won by 7 runs
"Wankhede Stadium,",Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore won by 138 runs
"Eden Gardens,",Mumbai Indians,Delhi Daredevils,Mumbai Indians won by 5 wickets
"M. A. Chidambaram Stadium,",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders won by 35 runs
"Brabourne Stadium,",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings won by 24 runs
"IS Bindra Stadium,",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals won by 14 runs
